# First Light (MNQ 19:00 Sydney Open Drive) - best return-on-drawdown window 05 Jan 2026 to 25 Aug 2026 - closed trades at Multiplier 11 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
05 Jan 26,25987.25,26011.5,1034.0
05 Jan 26,25992.25,26011.5,407.0
06 Jan 26,26325.25,26312.25,539.0
08 Jan 26,26171.0,26154.25,704.0
12 Jan 26,26279.25,26209.0,3058.0
12 Jan 26,26277.75,26209.0,1496.0
14 Jan 26,26120.5,26136.5,671.0
15 Jan 26,26278.25,26295.5,726.0
20 Jan 26,25693.5,25731.75,1650.0
22 Jan 26,26179.25,26210.5,1342.0
28 Jan 26,26719.0,26758.5,1705.0
28 Jan 26,26717.0,26758.5,896.5
29 Jan 26,26413.75,26366.75,2035.0
04 Feb 26,25643.5,25544.5,-4389.0
05 Feb 26,24929.0,25020.0,3971.0
05 Feb 26,24924.0,25020.0,2095.5
08 Feb 26,25764.0,25715.5,2101.0
11 Feb 26,25784.25,25816.75,1397.0
11 Feb 26,25792.5,25816.75,517.0
15 Feb 26,25356.5,25378.0,913.0
19 Feb 26,25481.5,25512.75,1342.0
19 Feb 26,25480.5,25512.75,693.0
20 Feb 26,25420.75,25450.75,1287.0
20 Feb 26,25418.75,25450.75,687.5
23 Feb 26,25354.5,25378.0,-1067.0
24 Feb 26,25582.5,25613.25,1320.0
25 Feb 26,25808.75,25786.5,946.0
01 Mar 26,25304.5,25350.25,1980.0
06 Mar 26,25565.5,25626.0,-2695.0
08 Mar 26,24673.5,24587.25,3762.0
10 Mar 26,25534.25,25568.0,1452.0
12 Mar 26,25016.5,25088.25,-3190.0
20 Mar 26,24898.0,24869.0,1243.0
20 Mar 26,24897.0,24869.0,599.5
22 Mar 26,24267.75,24357.5,-3982.0
24 Mar 26,24694.75,24672.0,968.0
24 Mar 26,24689.5,24671.5,379.5
25 Mar 26,24625.75,24652.0,1122.0
29 Mar 26,23401.5,23478.75,-3432.0
01 Apr 26,24339.5,24339.5,-33.0
01 Apr 26,24336.75,24339.5,44.0
02 Apr 26,24521.5,24541.75,858.0
05 Apr 26,24424.25,24453.75,1265.0
08 Apr 26,25380.5,25474.25,4092.0
08 Apr 26,25382.75,25474.25,1996.5
08 Apr 26,25312.5,25294.5,759.0
09 Apr 26,25529.75,25553.0,990.0
12 Apr 26,25280.25,25314.75,1485.0
14 Apr 26,26331.5,26287.5,-1969.0
15 Apr 26,26709.25,26727.0,748.0
15 Apr 26,26709.0,26727.0,379.5
26 Apr 26,27707.75,27725.0,726.0
28 Apr 26,27541.75,27560.75,803.0
29 Apr 26,27865.0,27780.75,-3740.0
03 May 26,28107.5,28173.75,-2948.0
06 May 26,28946.5,29009.75,-2816.0
07 May 26,29015.75,29055.25,1705.0
10 May 26,29583.25,29552.5,1320.0
10 May 26,29578.25,29552.5,550.0
12 May 26,29370.75,29451.25,-3575.0
13 May 26,29942.5,29974.5,1375.0
14 May 26,29967.75,29936.0,1364.0
14 May 26,29964.25,29936.0,605.0
19 May 26,29196.0,29130.5,2849.0
21 May 26,29822.25,29795.25,1155.0
26 May 26,30398.5,30434.5,1551.0
26 May 26,30406.5,30434.5,599.5
28 May 26,30585.25,30568.0,726.0
31 May 26,30779.75,30799.0,814.0
02 Jun 26,31008.0,30948.0,-2673.0
02 Jun 26,31007.25,30948.0,-1320.0
04 Jun 26,30530.0,30466.75,2750.0
07 Jun 26,29397.5,29512.75,5038.0
09 Jun 26,29393.75,29458.5,2816.0
10 Jun 26,28741.0,28840.0,4323.0
11 Jun 26,29886.75,29940.0,2310.0
14 Jun 26,30369.25,30416.25,2035.0
17 Jun 26,30342.0,30390.0,2079.0
23 Jun 26,29782.75,29882.25,4345.0
25 Jun 26,29665.25,29542.0,5390.0
30 Jun 26,30546.0,30469.5,-3399.0
30 Jun 26,30544.25,30469.5,-1661.0
01 Jul 26,30010.5,29956.5,2343.0
02 Jul 26,29626.5,29663.25,1584.0
02 Jul 26,29622.25,29671.25,1061.5
07 Jul 26,29269.25,29355.75,-3839.0
08 Jul 26,29510.0,29569.25,2574.0
09 Jul 26,29906.75,29875.5,1342.0
12 Jul 26,29911.75,29948.25,1573.0
14 Jul 26,29900.5,29977.25,3344.0
14 Jul 26,29904.75,29977.25,1578.5
15 Jul 26,29681.75,29652.0,1276.0
16 Jul 26,29060.0,29014.0,1991.0
19 Jul 26,28877.5,28931.5,2343.0
21 Jul 26,29305.25,29328.75,1001.0
22 Jul 26,29151.0,29215.0,2783.0
23 Jul 26,28655.0,28612.0,1859.0
23 Jul 26,28653.25,28612.0,891.0
28 Jul 26,28105.5,27985.0,-5335.0
29 Jul 26,27559.75,27622.0,2706.0
30 Jul 26,28446.25,28494.0,2068.0
02 Aug 26,28638.25,28690.25,2255.0
04 Aug 26,29857.75,29887.25,1265.0
04 Aug 26,29857.5,29887.25,638.0
05 Aug 26,29561.25,29515.75,1969.0
05 Aug 26,29563.0,29515.75,1023.0
06 Aug 26,29604.5,29529.25,-3344.0
09 Aug 26,29827.25,29798.0,1254.0
11 Aug 26,29665.75,29682.75,715.0
11 Aug 26,29675.0,29682.75,154.0
13 Aug 26,30188.25,30167.25,891.0
16 Aug 26,30228.5,30185.75,-1914.0
16 Aug 26,30232.5,30185.75,-1045.0
18 Aug 26,29513.75,29470.0,1892.0
20 Aug 26,29614.0,29608.5,209.0
20 Aug 26,29614.5,29608.5,115.5
25 Aug 26,29204.75,29161.0,1892.0
25 Aug 26,29203.5,29161.0,918.5
